ticker,name,forecast_date,pred_day,pred_close,last_close,upside_pct
RSP,Invesco S&P 500 Equal Weight ETF,2026-04-24,2,201.4004,202.315,-0.45
RSP,Invesco S&P 500 Equal Weight ETF,2026-04-27,3,200.397,202.315,-0.95
RSP,Invesco S&P 500 Equal Weight ETF,2026-04-28,4,198.905,202.315,-1.69
RSP,Invesco S&P 500 Equal Weight ETF,2026-04-29,5,196.976,202.315,-2.64
RSP,Invesco S&P 500 Equal Weight ETF,2026-04-30,6,196.0034,202.315,-3.12
RSP,Invesco S&P 500 Equal Weight ETF,2026-05-01,7,194.8226,202.315,-3.7
RSP,Invesco S&P 500 Equal Weight ETF,2026-05-04,8,194.4633,202.315,-3.88
RSP,Invesco S&P 500 Equal Weight ETF,2026-05-05,9,193.1361,202.315,-4.54
RSP,Invesco S&P 500 Equal Weight ETF,2026-05-06,10,192.7925,202.315,-4.71
RSP,Invesco S&P 500 Equal Weight ETF,2026-05-07,11,193.2847,202.315,-4.46
RSP,Invesco S&P 500 Equal Weight ETF,2026-05-08,12,193.0688,202.315,-4.57
RSP,Invesco S&P 500 Equal Weight ETF,2026-05-11,13,192.9384,202.315,-4.63
RSP,Invesco S&P 500 Equal Weight ETF,2026-05-12,14,192.3234,202.315,-4.94
RSP,Invesco S&P 500 Equal Weight ETF,2026-05-13,15,191.9037,202.315,-5.15
RSP,Invesco S&P 500 Equal Weight ETF,2026-05-14,16,191.2802,202.315,-5.45
RSP,Invesco S&P 500 Equal Weight ETF,2026-05-15,17,190.9997,202.315,-5.59
RSP,Invesco S&P 500 Equal Weight ETF,2026-05-18,18,191.317,202.315,-5.44
RSP,Invesco S&P 500 Equal Weight ETF,2026-05-19,19,190.8013,202.315,-5.69
RSP,Invesco S&P 500 Equal Weight ETF,2026-05-20,20,190.8272,202.315,-5.68
RSP,Invesco S&P 500 Equal Weight ETF,2026-05-21,21,191.4128,202.315,-5.39
SPY,SPDR S&P 500 ETF Trust,2026-04-23,1,710.8337,710.1,0.1
SPY,SPDR S&P 500 ETF Trust,2026-04-24,2,707.6626,710.1,-0.34
SPY,SPDR S&P 500 ETF Trust,2026-04-27,3,707.076,710.1,-0.43
SPY,SPDR S&P 500 ETF Trust,2026-04-28,4,703.8302,710.1,-0.88
SPY,SPDR S&P 500 ETF Trust,2026-04-29,5,699.5638,710.1,-1.48
SPY,SPDR S&P 500 ETF Trust,2026-04-30,6,696.2309,710.1,-1.95
SPY,SPDR S&P 500 ETF Trust,2026-05-01,7,693.9523,710.1,-2.27
SPY,SPDR S&P 500 ETF Trust,2026-05-04,8,694.1926,710.1,-2.24
SPY,SPDR S&P 500 ETF Trust,2026-05-05,9,690.3762,710.1,-2.78
SPY,SPDR S&P 500 ETF Trust,2026-05-06,10,690.0496,710.1,-2.82
SPY,SPDR S&P 500 ETF Trust,2026-05-07,11,689.5748,710.1,-2.89
SPY,SPDR S&P 500 ETF Trust,2026-05-08,12,689.0553,710.1,-2.96
SPY,SPDR S&P 500 ETF Trust,2026-05-11,13,691.9211,710.1,-2.56
SPY,SPDR S&P 500 ETF Trust,2026-05-12,14,685.687,710.1,-3.44
SPY,SPDR S&P 500 ETF Trust,2026-05-13,15,683.2563,710.1,-3.78
SPY,SPDR S&P 500 ETF Trust,2026-05-14,16,681.1285,710.1,-4.08
SPY,SPDR S&P 500 ETF Trust,2026-05-15,17,676.082,710.1,-4.79
SPY,SPDR S&P 500 ETF Trust,2026-05-18,18,679.0446,710.1,-4.37
SPY,SPDR S&P 500 ETF Trust,2026-05-19,19,677.8488,710.1,-4.54
SPY,SPDR S&P 500 ETF Trust,2026-05-20,20,676.113,710.1,-4.79
SPY,SPDR S&P 500 ETF Trust,2026-05-21,21,678.2927,710.1,-4.48
TSM,Taiwan Semiconductor,2026-04-22,1,363.6259,368.08,-1.21
TSM,Taiwan Semiconductor,2026-04-23,2,359.4321,368.08,-2.35
TSM,Taiwan Semiconductor,2026-04-24,3,355.0632,368.08,-3.54
TSM,Taiwan Semiconductor,2026-04-27,4,352.6548,368.08,-4.19
TSM,Taiwan Semiconductor,2026-04-28,5,346.1028,368.08,-5.97
TSM,Taiwan Semiconductor,2026-04-29,6,341.6624,368.08,-7.18
TSM,Taiwan Semiconductor,2026-04-30,7,336.0789,368.08,-8.69
TSM,Taiwan Semiconductor,2026-05-01,8,331.226,368.08,-10.01
TSM,Taiwan Semiconductor,2026-05-04,9,327.1804,368.08,-11.11
TSM,Taiwan Semiconductor,2026-05-05,10,320.4792,368.08,-12.93
TSM,Taiwan Semiconductor,2026-05-06,11,319.3437,368.08,-13.24
TSM,Taiwan Semiconductor,2026-05-07,12,315.477,368.08,-14.29
TSM,Taiwan Semiconductor,2026-05-08,13,313.6094,368.08,-14.8
TSM,Taiwan Semiconductor,2026-05-11,14,313.2605,368.08,-14.89
TSM,Taiwan Semiconductor,2026-05-12,15,311.1876,368.08,-15.46
TSM,Taiwan Semiconductor,2026-05-13,16,309.0364,368.08,-16.04
TSM,Taiwan Semiconductor,2026-05-14,17,306.5224,368.08,-16.72
TSM,Taiwan Semiconductor,2026-05-15,18,302.0904,368.08,-17.93
TSM,Taiwan Semiconductor,2026-05-18,19,302.9622,368.08,-17.69
TSM,Taiwan Semiconductor,2026-05-19,20,298.8609,368.08,-18.81
TSM,Taiwan Semiconductor,2026-05-20,21,297.8264,368.08,-19.09
VIST,Vista Energy ADS,2026-04-22,1,66.0757,67.88,-2.66
VIST,Vista Energy ADS,2026-04-23,2,65.1326,67.88,-4.05
VIST,Vista Energy ADS,2026-04-24,3,63.9611,67.88,-5.77
VIST,Vista Energy ADS,2026-04-27,4,64.0939,67.88,-5.58
VIST,Vista Energy ADS,2026-04-28,5,63.1886,67.88,-6.91
VIST,Vista Energy ADS,2026-04-29,6,62.2908,67.88,-8.23
VIST,Vista Energy ADS,2026-04-30,7,61.1034,67.88,-9.98
VIST,Vista Energy ADS,2026-05-01,8,58.0345,67.88,-14.5
VIST,Vista Energy ADS,2026-05-04,9,57.2984,67.88,-15.59
